Lead ID,Created At,Product Type,Channel,Device,Partner,City,Insurance Company,Payment Type,Minutes Since Abandonment,Days To Policy Expiry,Price,Discount Percent,Has Previous Purchase,Visited Offer Page,Incoming Call Last 24h,Sessions Last 7d,Offer Views Last 7d,Price Comparisons Last 7d,Days Since Last Visit,Expected Margin,Completed Purchase
L149579,2026-04-24 10:21:00,thirdparty,SEO,mobile,direct,Tehran,Pasargad,cash,82,-3,7070000.0,5.3,0,1,0,3,2,0,23.5,205000.0,0
L107590,2026-07-07 12:07:00,thirdparty,Paid,mobile,direct,Mashhad,Asia,installment,72,18,4770000.0,7.6,0,1,0,4,5,1,2.4,124000.0,0
L121258,2026-05-17 15:09:00,thirdparty,SEO,mobile,other_partner,Tehran,Pasargad,cash,210,9,7570000.0,11.7,1,1,0,2,2,4,7.2,219500.0,0
L136293,2026-07-28 23:14:00,thirdparty,Paid,mobile,direct,Isfahan,Alborz,cash,122,25,9630000.0,8.3,0,1,0,3,2,1,0.3,250400.0,0
L137060,2026-07-26 06:58:00,carbody,SEO,mobile,shoraka,Other,Parsian,cash,38,28,25490000.0,2.4,0,1,0,4,1,3,3.4,968600.0,0
L143167,2026-05-10 11:44:00,carbody,Referral,mobile,direct,Tehran,Iran,cash,214,29,25540000.0,2.9,0,1,0,1,2,0,3.7,970500.0,0
L128697,2026-08-12 03:16:00,thirdparty,SEO,mobile,direct,Other,Iran,installment,63,25,5120000.0,2.4,0,1,0,2,3,2,8.7,133100.0,0
L132478,2026-06-06 02:07:00,thirdparty,Paid,desktop,direct,Tehran,Saman,installment,42,-20,7190000.0,2.4,0,0,0,2,1,2,17.2,215700.0,0
L126237,2026-04-20 02:29:00,thirdparty,CRM,mobile,direct,Shiraz,Alborz,installment,105,19,11190000.0,2.0,1,1,0,6,3,2,4.7,290900.0,0
L133706,2026-08-20 11:43:00,thirdparty,CRM,mobile,direct,Mashhad,Dana,cash,312,28,8890000.0,3.6,1,1,1,6,2,0,8.3,231100.0,0
L122940,2026-05-26 05:24:00,thirdparty,Paid,mobile,direct,Tehran,Saman,installment,341,16,14720000.0,7.4,1,1,0,7,5,0,1.9,441600.0,0
L110456,2026-04-19 11:24:00,thirdparty,CRM,mobile,direct,Shiraz,Saman,installment,205,13,8460000.0,7.7,1,0,0,4,1,0,1.1,253800.0,0
L143369,2026-08-04 03:56:00,thirdparty,Referral,mobile,direct,Rasht,Iran,cash,50,18,9610000.0,4.8,0,1,0,2,1,0,22.4,249900.0,0
L145976,2026-06-20 06:53:00,carbody,SEO,mobile,direct,Tehran,Asia,cash,109,29,22260000.0,4.1,0,0,0,2,0,3,1.0,845900.0,0
L139413,2026-05-08 16:34:00,thirdparty,SEO,mobile,autoabzar,Other,Asia,cash,126,20,6010000.0,2.7,1,0,0,2,0,5,0.7,156300.0,0
L134444,2026-08-23 03:40:00,thirdparty,CRM,mobile,other_partner,Karaj,Asia,installment,121,-1,5570000.0,3.4,1,1,1,2,0,0,3.7,144800.0,1
